SampleId,Taxonomist,Study,Site,SampleDate,Year,JulianDay,Name,Basin,KywId,KywName,EcoregionNumber,Ecoregion,Province,EnvirodatId,Description,Device,MeshSize,SampleNumber,QAQC,SampleStatus,Latitude,Longitude,GPSDatum,Altitude,StreamOrder,DistanceFromSource,DrainageArea,SubSample,TotalSample,Aeolosomatidae,Aeshnidae,Ameletidae,Ancylidae,Anisitsiellidae,Apataniidae,Arrenuridae,Asellidae,Athericidae,Aturidae,Baetidae,Baetiscidae,Bosminidae,Bourletiellidae,Brachycentridae,Caenidae,Calopterygidae,Candonidae,Canthocamptidae,Capniidae,Carabidae,Cecidomyiidae,Ceratopogonidae,Chaoboridae,Chironomidae,Chloroperlidae,Chydoridae,Coenagrionidae,Cordulegastridae,Corduliidae,Corixidae,Corophiidae,Corydalidae,Crangonyctidae,Culicidae,Curculionidae,Cyclopidae,Cyprididae,Daphniidae,Dipseudopsidae,Dixidae,Dolichopodidae,Dryopidae,Dugesiidae,Dytiscidae,Elmidae,Empididae,Enchytraeidae,Entomobryidae,Ephemerellidae,Ephemeridae,Ephydridae,Erpobdellidae,Eylaidae,Feltriidae,Gammaridae,Gerridae,Glossiphoniidae,Glossosomatidae,Goeridae,Gomphidae,Gyrinidae,Halacaridae,Haliplidae,Hebridae,Helicopsychidae,Helophoridae,Heptageniidae,Hyalellidae,Hyalidae,Hydraenidae,Hydridae,Hydrobiidae,Hydrodromidae,Hydrophilidae,Hydropsychidae,Hydroptilidae,Hydrozetidae,Hydryphantidae,Hygrobatidae,Hypogastruridae,Isonychiidae,Isotomidae,Lebertiidae,Lepidostomatidae,Leptoceridae,Leptohyphidae,Leptophlebiidae,Leuctridae,Libellulidae,Limnephilidae,Limnesiidae,Limnocharidae,Lumbricidae,Lumbriculidae,Lymnaeidae,Malaconothridae,Margaritiferidae,Mesoveliidae,Mideopsidae,Molannidae,Muscidae,Naididae,Nemouridae,Neoacaridae,Noctuidae,Notonectidae,Nymphomyiidae,Odontoceridae,Onychiuridae,Oreoleptidae,Oxidae,Pelecorhynchidae,Perlidae,Perlodidae,Philopotamidae,Phryganeidae,Physidae,Pionidae,Piscicolidae,Pisidiidae,Planariidae,Planorbidae,Pleidae,Poduridae,Polycentropodidae,Polymitarcyidae,Psephenidae,Psychodidae,Psychomyiidae,Pteronarcyidae,Ptychopteridae,Pyralidae,Rhyacophilidae,Sabellidae,Sericostomatidae,Sialidae,Simuliidae,Siphlonuridae,Sminthuridae,Sparganophilidae,Sperchontidae,Staphylinidae,Stratiomyidae,Stygothrombidiidae,Tabanidae,Taeniopterygidae,Tanyderidae,Tetrastemmatidae,Tipulidae,Torrenticolidae,Tortricidae,Trhypochthoniidae,Trichoniscidae,Uenoidae,Unionidae,Valvatidae,Veliidae,;;;;;;;;
21402,Jo-Anne Monahan,ACAP Cape Breton,BEN01,2012-10-24 12:00:00 AM,2012,298,Unnamed Brook ,Bras d'Or Lakes,01F03,Eastern - Cape Breton Island,128,Nova Scotia Highlands,Nova Scotia,NS01FJ0271,"Brook next to provincial picnic park off of Rt. 4 in Ben Eoin, NS.  Sampled ~100m upstream from gate.  ",Kick Net,400,1,False,Potential Reference,45.9614600,-60.4607200,nad83,35,1,,,11,100,,,,,,,,,,,90.9,,,,,,,,,,,,,,309.09,54.54,,,,,,,,,,,,,,,,,,,,627.27,18.18,36.36,,881.81,,,,,,,,,,,,,,,,,,445.45,,,,,,,,18.18,9.09,,,,,,,36.36,36.36,,,63.63,54.54,,9.09,,,,27.27,,,,,,,,,,,,,,27.27,,,,,,27.27,,,,,,9.09,,,,,,,9.09,,,,,,27.27,,,,,,,,,,,,,9.09,,,9.09,,,,,,,,,;;;;;;;;
30674,Jo-Anne Monahan,ACAP Cape Breton,BLA01,2017-10-19 12:00:00 AM,2017,292,Black Brook,Mira River,01F03,Eastern - Cape Breton Island,128,Nova Scotia Highlands,Nova Scotia,,"Take Aran Drive to ATV Trail, up ~2km from gate. Walk about 100m upstream.",Kick Net,400,1,False,Potential Reference,46.0934700,-60.0873900,nad83,73,1,,,15,100,,20,,,,,,,,,,,,,,,,,,1220,,,60,,633.33,,,,,,,,100,,,,,,,,,,,,,13.33,,,,,,6.67,,,,,,,,,,,,,,,,,,,,,,,,173.33,140,,,,,,,,,,,60,286.67,,20,,,,100,,,,,,,,33.33,,,,,,,,,,,,,6.67,6.67,,,,,,,,,73.33,,,,,,,,40,,,33.33,153.33,,,,6.67,,,,,,,,13.33,,,,,,,,,;;;;;;;;
23105,Jo-Anne Monahan,ACAP Cape Breton,BRE001,2013-11-25 12:00:00 AM,2013,329,Breac Brook,Bras d'Or Lakes,01F03,Eastern - Cape Breton Island,128,Nova Scotia Highlands,Nova Scotia,NS01FJ0272,Off of Glengarry Rd. near Hwy 4. Sampled approx. 40m downstream of bridge across Glengarry,Kick Net,400,1,False,Potential Reference,45.9121200,-60.5152000,nad83,35,3,,,6,100,,,,,,,,,,,283.33,,,,,,,,,233.33,,,,,866.66,483.33,,,16.66,,,,,,,,,,,,,,,,,216.66,16.66,250,,1583.33,,,,,,,,,16.66,,,,,,,,,416.66,,,,,,,,50,,,,16.66,,,,150,450,16.66,,400,,,16.66,,,,50,,,,,,,,,,,,,,,,,,,16.66,33.33,,,,,,,,,,,16.66,,,,,,,,,,,,16.66,,,,16.66,,,,,150,,,83.33,16.66,,,,,,,,;;;;;;;;
26645,Jo-Anne Monahan,ACAP Cape Breton,BRE001,2015-09-29 12:00:00 AM,2015,272,Breac Brook,Bras d'Or Lakes,01F03,Eastern - Cape Breton Island,128,Nova Scotia Highlands,Nova Scotia,NS01FJ0272,"Off Route 4 up Glengarry Rd. Parking area with sign for brook. Follow path to brook, walk ~100 DS to sampling site.",Kick Net,400,1,False,Potential Reference,45.9121100,-60.5150200,nad83,35,3,,,14,100,,,,,,,,,,7.14,157.14,,,,7.14,,,,,,,,7.14,,485.71,42.85,,,,,,,,,,,,,,,,,,,,192.85,21.42,128.57,,814.28,,,,,,,,,,,14.28,,,,,,,35.71,,,,,,,,50,7.14,,,,,,,57.14,150,,,100,,,,,,,21.42,,,,,,,,42.85,,,,,,,,,,,14.28,7.14,7.14,,,,,7.14,,,,,,,,,,,,,,,,,7.14,,,,28.57,,,,,85.71,,,71.42,28.57,,,,,,,,;;;;;;;;
21415,Jo-Anne Monahan,ACAP Cape Breton,CAM01,2012-11-30 12:00:00 AM,2012,335,Campbells Brook,Bras d'Or Lakes,01F03,Eastern - Cape Breton Island,128,Nova Scotia Highlands,Nova Scotia,NS01FH0048,"Off Rt. 4 Hwy in Red Islands, NS; parking in driveway of pasture lot.  Sampling upstream from hwy, past first braid in brook to the left going upstream.",Kick Net,400,1,False,Potential Reference,45.7758500,-60.7442600,nad83,2,2,,,25,100,,,,,,,,,,,28,,,,,,,,,496,,,4,,128,24,,,,,,,,,,,,,,,,,,,,168,8,,,84,,,,,,,,,,,,,,,,,,40,,,,,,,,4,16,,,,,,,12,32,,,76,12,,,,,,44,,,,,,,,,,,,,,,,,,,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,36,4,,,,,,,,;;;;;;;
26925,Jo-Anne Monahan,ACAP Cape Breton,DUT01,2015-09-30 12:00:00 AM,2015,273,Dutch Brook,Blacketts Lake,01F03,Eastern - Cape Breton Island,128,Nova Scotia Highlands,Nova Scotia,,"Up Tometary Dr, parking on Peter Rd. Walk across road over guardrail, walk U/S.",Kick Net,400,1,False,Potential Reference,46.0600400,-60.2550500,nad83,9,2,,,3,100,,,,,,,,,,,400,,,,100,,,,,100,,,266.66,,5300,100,,,,,,,66.66,,,,,,,,,,,,,333.33,66.66,633.33,,300,,,,,,,,,66.66,,66.66,,,,,,,800,,,,,,,,100,,,,,,,,33.33,300,66.66,,500,166.66,,,,,,33.33,,,,,,,,200,,,,,,,,,,,133.33,33.33,233.33,33.33,,,,66.66,,,,,100,,,,,,,,233.33,,,,,,,,,,,,,266.66,,,100,300,,,,,,,,;;;;;;;;
13729,Patrick Stewart,ACAP Cape Breton,GEO0106,2006-09-22 12:00:00 AM,2006,265,George's River,Bras d'Or Basin,01F03,Eastern - Cape Breton Island,128,Nova Scotia Highlands,Nova Scotia,,Laratts Construction access Road at point above old forest operations crossing,Kick Net,400,1,False,Potential Reference,46.1414278,-60.3978861,nad83,,3,,,34,100,,2.94,,,,,,,,,61.76,,,,,5.88,,,,20.58,,,,,176.47,2.94,,,,,,,,,,,,,,,,,,,,58.82,,,,20.58,,,,,,,,,2.94,,,,,,,,,73.52,,,,,,,,55.88,,,,,,,,,61.76,,,11.76,,,17.64,,,,,,,,,,,,,,,,,,,,,5.88,,5.88,,2.94,,,,,,,,,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;
22898,Jo-Anne Monahan,ACAP Cape Breton,GIL001,2013-11-06 12:00:00 AM,2013,310,Gillis Brook,Bras d'Or Lakes,01F03,Eastern - Cape Breton Island,128,Nova Scotia Highlands,Nova Scotia,NS01FJ0274,Located near Highway 216 in wooded area; sampled upstream off highway.,Kick Net,400,1,False,Potential Reference,46.0259500,-60.3850500,nad83,20,3,,,8,100,,,,,,,,,,,175,,,,,,,,,100,,,,,575,125,,,,,,,,,,,,,,,,,,,,62.5,137.5,,,475,,,,,,,,,37.5,,37.5,,,,,,,362.5,,,,,,,,50,62.5,,,,,,,,525,,,350,,,,,,,50,,,,,,,12.5,112.5,,,,,,,,,,,237.5,112.5,,,,,,,,,,,62.5,,,,,,,,,,,,,,,,,,,,,12.5,,,100,,,,,,,,,;;;;;;;
26731,Jo-Anne Monahan,ACAP Cape Breton,GIL001,2015-09-30 12:00:00 AM,2015,273,Gillis Brook,Bras d'Or Lakes,01F03,Eastern - Cape Breton Island,128,Nova Scotia Highlands,Nova Scotia,NS01FJ0274,"Parking lot off Rt.216. Walk across the road, follow trail US past abandoned flatbed",Kick Net,400,1,False,Potential Reference,46.2595000,-60.3850500,nad83,8,3,,,3,100,,,,,,,,,,33.33,133.33,,,,,,,,,66.66,,,100,,4300,100,,,,,,,,,,,,,,,,,,,,100,133.33,100,,333.33,,,,,,,,,,,33.33,,,,,,,766.66,,,,,,,,100,200,,,,,,,33.33,366.66,33.33,33.33,366.66,33.33,,,,,,,,,,,,,,2533.33,,,,,,,,,,,66.66,566.66,,,,,,,,,,,66.66,,66.66,,,,,,,,,,,,,,,,,,,33.33,,,66.66,133.33,,,,,,,,;;;;;;;;
